column_id,base_level,top_level,alpha_grid,numeric_grid,column_type,size
,L0,L1,A,1,RC sq,500mm
,L0,L1,A,2,RC sq,500mm
,L0,L1,A,3,RC sq,500mm
,L0,L1,A,4,RC sq,500mm
,L0,L1,A,5,RC sq,500mm
,L0,L1,B,1,RC sq,500mm
,L0,L1,B,2,RC sq,500mm
,L0,L1,B,3,RC sq,500mm
,L0,L1,B,4,RC sq,500mm
,L0,L1,B,5,RC sq,500mm
,L0,L1,C,1,RC sq,500mm
,L0,L1,C,2,RC sq,500mm
,L0,L1,C,3,RC sq,500mm
,L0,L1,C,4,RC sq,500mm
,L0,L1,C,5,RC sq,500mm
,L0,L1,D,1,RC sq,500mm
,L0,L1,D,2,RC sq,500mm
,L0,L1,D,3,RC sq,500mm
,L0,L1,D,4,RC sq,500mm
,L0,L1,D,5,RC sq,500mm
,L0,L1,E,1,RC sq,500mm
,L0,L1,E,2,RC sq,500mm
,L0,L1,E,3,RC sq,500mm
,L0,L1,E,4,RC sq,500mm
,L0,L1,E,5,RC sq,500mm
,L0,L1,F,1,RC sq,500mm
,L0,L1,F,2,RC sq,500mm
,L0,L1,F,3,RC sq,500mm
,L0,L1,F,4,RC sq,500mm
,L0,L1,F,5,RC sq,500mm
,L1,L2,A,1,RC sq,500mm
,L1,L2,A,2,RC sq,500mm
,L1,L2,A,3,RC sq,500mm
,L1,L2,A,4,RC sq,500mm
,L1,L2,A,5,RC sq,500mm
,L1,L2,B,1,RC sq,500mm
,L1,L2,B,2,RC sq,500mm
,L1,L2,B,3,RC sq,500mm
,L1,L2,B,4,RC sq,500mm
,L1,L2,B,5,RC sq,500mm
,L1,L2,C,1,RC sq,500mm
,L1,L2,C,2,RC sq,500mm
,L1,L2,C,3,RC sq,500mm
,L1,L2,C,4,RC sq,500mm
,L1,L2,C,5,RC sq,500mm
,L1,L2,D,1,RC sq,500mm
,L1,L2,D,2,RC sq,500mm
,L1,L2,D,3,RC sq,500mm
,L1,L2,D,4,RC sq,500mm
,L1,L2,D,5,RC sq,500mm
,L1,L2,E,1,RC sq,500mm
,L1,L2,E,2,RC sq,500mm
,L1,L2,E,3,RC sq,500mm
,L1,L2,E,4,RC sq,500mm
,L1,L2,E,5,RC sq,500mm
,L1,L2,F,1,RC sq,500mm
,L1,L2,F,2,RC sq,500mm
,L1,L2,F,3,RC sq,500mm
,L1,L2,F,4,RC sq,500mm
,L1,L2,F,5,RC sq,500mm
,L2,L3,A,1,RC sq,500mm
,L2,L3,A,2,RC sq,500mm
,L2,L3,A,3,RC sq,500mm
,L2,L3,A,4,RC sq,500mm
,L2,L3,A,5,RC sq,500mm
,L2,L3,B,1,RC sq,500mm
,L2,L3,B,2,RC sq,500mm
,L2,L3,B,3,RC sq,500mm
,L2,L3,B,4,RC sq,500mm
,L2,L3,B,5,RC sq,500mm
,L2,L3,C,1,RC sq,500mm
,L2,L3,C,2,RC sq,500mm
,L2,L3,C,3,RC sq,500mm
,L2,L3,C,4,RC sq,500mm
,L2,L3,C,5,RC sq,500mm
,L2,L3,D,1,RC sq,500mm
,L2,L3,D,2,RC sq,500mm
,L2,L3,D,3,RC sq,500mm
,L2,L3,D,4,RC sq,500mm
,L2,L3,D,5,RC sq,500mm
,L2,L3,E,1,RC sq,500mm
,L2,L3,E,2,RC sq,500mm
,L2,L3,E,3,RC sq,500mm
,L2,L3,E,4,RC sq,500mm
,L2,L3,E,5,RC sq,500mm
,L2,L3,F,1,RC sq,500mm
,L2,L3,F,2,RC sq,500mm
,L2,L3,F,3,RC sq,500mm
,L2,L3,F,4,RC sq,500mm
,L2,L3,F,5,RC sq,500mm
,L3,L4,A,1,RC sq,500mm
,L3,L4,A,2,RC sq,500mm
,L3,L4,A,3,RC sq,500mm
,L3,L4,A,4,RC sq,500mm
,L3,L4,A,5,RC sq,500mm
,L3,L4,B,1,RC sq,500mm
,L3,L4,B,2,RC sq,500mm
,L3,L4,B,3,RC sq,500mm
,L3,L4,B,4,RC sq,500mm
,L3,L4,B,5,RC sq,500mm
,L3,L4,C,1,RC sq,500mm
,L3,L4,C,2,RC sq,500mm
,L3,L4,C,3,RC sq,500mm
,L3,L4,C,4,RC sq,500mm
,L3,L4,C,5,RC sq,500mm
,L3,L4,D,1,RC sq,500mm
,L3,L4,D,2,RC sq,500mm
,L3,L4,D,3,RC sq,500mm
,L3,L4,D,4,RC sq,500mm
,L3,L4,D,5,RC sq,500mm
,L3,L4,E,1,RC sq,500mm
,L3,L4,E,2,RC sq,500mm
,L3,L4,E,3,RC sq,500mm
,L3,L4,E,4,RC sq,500mm
,L3,L4,E,5,RC sq,500mm
,L3,L4,F,1,RC sq,500mm
,L3,L4,F,2,RC sq,500mm
,L3,L4,F,3,RC sq,500mm
,L3,L4,F,4,RC sq,500mm
,L3,L4,F,5,RC sq,500mm
,L4,L5,A,1,RC sq,500mm
,L4,L5,A,2,RC sq,500mm
,L4,L5,A,3,RC sq,500mm
,L4,L5,A,4,RC sq,500mm
,L4,L5,A,5,RC sq,500mm
,L4,L5,B,1,RC sq,500mm
,L4,L5,B,2,RC sq,500mm
,L4,L5,B,3,RC sq,500mm
,L4,L5,B,4,RC sq,500mm
,L4,L5,B,5,RC sq,500mm
,L4,L5,C,1,RC sq,500mm
,L4,L5,C,2,RC sq,500mm
,L4,L5,C,3,RC sq,500mm
,L4,L5,C,4,RC sq,500mm
,L4,L5,C,5,RC sq,500mm
,L4,L5,D,1,RC sq,500mm
,L4,L5,D,2,RC sq,500mm
,L4,L5,D,3,RC sq,500mm
,L4,L5,D,4,RC sq,500mm
,L4,L5,D,5,RC sq,500mm
,L4,L5,E,1,RC sq,500mm
,L4,L5,E,2,RC sq,500mm
,L4,L5,E,3,RC sq,500mm
,L4,L5,E,4,RC sq,500mm
,L4,L5,E,5,RC sq,500mm
,L4,L5,F,1,RC sq,500mm
,L4,L5,F,2,RC sq,500mm
,L4,L5,F,3,RC sq,500mm
,L4,L5,F,4,RC sq,500mm
,L4,L5,F,5,RC sq,500mm
,L5,L6,A,1,RC sq,500mm
,L5,L6,A,2,RC sq,500mm
,L5,L6,A,3,RC sq,500mm
,L5,L6,A,4,RC sq,500mm
,L5,L6,A,5,RC sq,500mm
,L5,L6,B,1,RC sq,500mm
,L5,L6,B,2,RC sq,500mm
,L5,L6,B,3,RC sq,500mm
,L5,L6,B,4,RC sq,500mm
,L5,L6,B,5,RC sq,500mm
,L5,L6,C,1,RC sq,500mm
,L5,L6,C,2,RC sq,500mm
,L5,L6,C,3,RC sq,500mm
,L5,L6,C,4,RC sq,500mm
,L5,L6,C,5,RC sq,500mm
,L5,L6,D,1,RC sq,500mm
,L5,L6,D,2,RC sq,500mm
,L5,L6,D,3,RC sq,500mm
,L5,L6,D,4,RC sq,500mm
,L5,L6,D,5,RC sq,500mm
,L5,L6,E,1,RC sq,500mm
,L5,L6,E,2,RC sq,500mm
,L5,L6,E,3,RC sq,500mm
,L5,L6,E,4,RC sq,500mm
,L5,L6,E,5,RC sq,500mm
,L5,L6,F,1,RC sq,500mm
,L5,L6,F,2,RC sq,500mm
,L5,L6,F,3,RC sq,500mm
,L5,L6,F,4,RC sq,500mm
,L5,L6,F,5,RC sq,500mm
,L6,L7,A,1,RC sq,500mm
,L6,L7,A,2,RC sq,500mm
,L6,L7,A,3,RC sq,500mm
,L6,L7,A,4,RC sq,500mm
,L6,L7,A,5,RC sq,500mm
,L6,L7,B,1,RC sq,500mm
,L6,L7,B,2,RC sq,500mm
,L6,L7,B,3,RC sq,500mm
,L6,L7,B,4,RC sq,500mm
,L6,L7,B,5,RC sq,500mm
,L6,L7,C,1,RC sq,500mm
,L6,L7,C,2,RC sq,500mm
,L6,L7,C,3,RC sq,500mm
,L6,L7,C,4,RC sq,500mm
,L6,L7,C,5,RC sq,500mm
,L6,L7,D,1,RC sq,500mm
,L6,L7,D,2,RC sq,500mm
,L6,L7,D,3,RC sq,500mm
,L6,L7,D,4,RC sq,500mm
,L6,L7,D,5,RC sq,500mm
,L6,L7,E,1,RC sq,500mm
,L6,L7,E,2,RC sq,500mm
,L6,L7,E,3,RC sq,500mm
,L6,L7,E,4,RC sq,500mm
,L6,L7,E,5,RC sq,500mm
,L6,L7,F,1,RC sq,500mm
,L6,L7,F,2,RC sq,500mm
,L6,L7,F,3,RC sq,500mm
,L6,L7,F,4,RC sq,500mm
,L6,L7,F,5,RC sq,500mm
,L7,L8,A,1,RC sq,500mm
,L7,L8,A,2,RC sq,500mm
,L7,L8,A,3,RC sq,500mm
,L7,L8,A,4,RC sq,500mm
,L7,L8,A,5,RC sq,500mm
,L7,L8,B,1,RC sq,500mm
,L7,L8,B,2,RC sq,500mm
,L7,L8,B,3,RC sq,500mm
,L7,L8,B,4,RC sq,500mm
,L7,L8,B,5,RC sq,500mm
,L7,L8,C,1,RC sq,500mm
,L7,L8,C,2,RC sq,500mm
,L7,L8,C,3,RC sq,500mm
,L7,L8,C,4,RC sq,500mm
,L7,L8,C,5,RC sq,500mm
,L7,L8,D,1,RC sq,500mm
,L7,L8,D,2,RC sq,500mm
,L7,L8,D,3,RC sq,500mm
,L7,L8,D,4,RC sq,500mm
,L7,L8,D,5,RC sq,500mm
,L7,L8,E,1,RC sq,500mm
,L7,L8,E,2,RC sq,500mm
,L7,L8,E,3,RC sq,500mm
,L7,L8,E,4,RC sq,500mm
,L7,L8,E,5,RC sq,500mm
,L7,L8,F,1,RC sq,500mm
,L7,L8,F,2,RC sq,500mm
,L7,L8,F,3,RC sq,500mm
,L7,L8,F,4,RC sq,500mm
,L7,L8,F,5,RC sq,500mm
,L8,L9,A,1,RC sq,500mm
,L8,L9,A,2,RC sq,500mm
,L8,L9,A,3,RC sq,500mm
,L8,L9,A,4,RC sq,500mm
,L8,L9,A,5,RC sq,500mm
,L8,L9,B,1,RC sq,500mm
,L8,L9,B,2,RC sq,500mm
,L8,L9,B,3,RC sq,500mm
,L8,L9,B,4,RC sq,500mm
,L8,L9,B,5,RC sq,500mm
,L8,L9,C,1,RC sq,500mm
,L8,L9,C,2,RC sq,500mm
,L8,L9,C,3,RC sq,500mm
,L8,L9,C,4,RC sq,500mm
,L8,L9,C,5,RC sq,500mm
,L8,L9,D,1,RC sq,500mm
,L8,L9,D,2,RC sq,500mm
,L8,L9,D,3,RC sq,500mm
,L8,L9,D,4,RC sq,500mm
,L8,L9,D,5,RC sq,500mm
,L8,L9,E,1,RC sq,500mm
,L8,L9,E,2,RC sq,500mm
,L8,L9,E,3,RC sq,500mm
,L8,L9,E,4,RC sq,500mm
,L8,L9,E,5,RC sq,500mm
,L8,L9,F,1,RC sq,500mm
,L8,L9,F,2,RC sq,500mm
,L8,L9,F,3,RC sq,500mm
,L8,L9,F,4,RC sq,500mm
,L8,L9,F,5,RC sq,500mm
